canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1,93135.0,218.33,5.1,20.2,1.0,1.0,4.0,16.0
CCNc1nc(C)c(C(=O)/C=C/c2cccc(F)c2)s1,57390537.0,290.4,4.2,70.2,1.0,5.0,5.0,20.0
O=c1ccn(C2CC2)c2cc(N3CCNCC3)c(F)cc12,9838858.0,287.33,0.9,35.6,1.0,5.0,2.0,21.0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CCC(=C)[C@@H]3[C@@H](O)[C@H]12,21629647.0,264.32,1.1,66.8,2.0,4.0,0.0,19.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CCCCCCOC(=O)c1ccncc1,531656.0,207.27,3.4,39.2,0.0,3.0,7.0,15.0
N=C(N)c1cnc(OC2CCCC2)nc1N,70689972.0,221.26,0.9,111.0,3.0,5.0,3.0,16.0
O=c1c2c(oc3ccc(F)cc13)-c1ccccc1OCCO2,118725400.0,298.26,3.2,44.8,0.0,5.0,0.0,22.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
N=c1[nH]c2nn(-c3ccccc3)nc2c2ccccc12,71575611.0,261.28,3.5,69.6,1.0,4.0,1.0,20.0
Cc1cc(=O)n2c3c(c4c(cc13)c(CO)cc(=O)n4C)OC2,169159.0,298.29,-0.5,70.1,1.0,4.0,1.0,22.0
CC(C)=CCCC(C)CC1CC(=O)c2c(O)cccc2O1,118722249.0,288.4,5.3,46.5,1.0,3.0,5.0,21.0
Nc1nc2c(Cn3ccnc3C(=O)O)cccc2s1,163213895.0,274.3,1.6,122.0,2.0,6.0,3.0,19.0
CC(=O)C1=C[C@@]2(C)C(=CC1=O)[C@H](O)CC[C@@H]2C,90683034.0,234.29,1.3,54.4,1.0,3.0,1.0,17.0
CCOC(=O)CC(=O)c1cnc(Cl)cn1,58074949.0,228.63,1.1,69.2,0.0,5.0,5.0,15.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1,70849.0,253.29,1.8,64.6,1.0,5.0,6.0,18.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
COc1ccc(NC(=S)Nc2ccccc2Cl)cc1,976989.0,292.8,3.2,65.4,2.0,2.0,3.0,19.0
CC1=C[C@@H]2[C@@H](C(C)C)CC[C@@](C)(O)[C@@H]2CC1,51394521.0,222.37,3.3,20.2,1.0,1.0,1.0,16.0
COc1ccc2nc3[nH]c(=O)[nH]c(=O)c3cc2c1,76311712.0,243.22,1.0,80.3,2.0,4.0,1.0,18.0
CC(C)[C@@H]1O/C(=C/C(=O)Cc2ccccc2)NC1=O,134284878.0,259.3,2.3,55.4,1.0,3.0,4.0,19.0
CNC1=CC(=O)C(C(C)(C)C)=CC1=O,127049486.0,193.24,1.8,46.2,1.0,3.0,2.0,14.0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],24944097.0,287.23,,141.0,1.0,6.0,3.0,18.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Cc1cc2ncn(Cc3ccc(Cl)cc3)c2cc1C,683409.0,270.75,4.4,17.8,0.0,1.0,2.0,19.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
Cn1c(/C=C/C=[N+](/C)[O-])cnc1[N+](=O)[O-],6446537.0,210.19,-0.6,92.4,0.0,4.0,2.0,15.0
CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1,93135.0,218.33,5.1,20.2,1.0,1.0,4.0,16.0
CCCCCCCCCCCCCC(=O)OCCC(C)C,95950.0,298.5,8.0,26.3,0.0,2.0,16.0,21.0
Cc1cccc2nc(N/N=C/c3cccs3)sc12,137651941.0,273.4,4.7,93.8,1.0,5.0,3.0,18.0
Oc1nc2nonc2nc1-c1cccc(Cl)c1,136142406.0,248.62,1.5,80.4,1.0,5.0,1.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,73201.0,270.28,3.1,55.8,1.0,4.0,2.0,20.0
N#CCCCSC(=S)n1cnc2ccccc21,76309798.0,261.4,2.9,99.0,0.0,4.0,4.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Nc1nc(-c2ccc(O)c(O)c2)cs1,762762.0,208.24,1.6,108.0,3.0,5.0,1.0,14.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Oc1cc(F)ccc1Oc1ccccc1,5271321.0,204.2,3.2,29.5,1.0,3.0,2.0,15.0
CSc1nc2sc3c(c2c(=S)[nH]1)CCCCC3,46934518.0,282.5,4.0,110.0,1.0,4.0,1.0,17.0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],24944097.0,287.23,,141.0,1.0,6.0,3.0,18.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=C(O)CC[n+]1ccccc1,394779.0,152.17,0.4,41.2,1.0,2.0,3.0,11.0
CC(C)=CCCC1=CC=C(C=O)C(C)(c2ccc(C)o2)C1,24859828.0,284.4,4.6,30.2,0.0,2.0,5.0,21.0
CC1(C)NC(=S)N(c2ccc(Cl)cc2)N1,13258079.0,241.74,2.6,59.4,2.0,2.0,1.0,15.0
N=C1CCNC(=O)N1c1ccc(Cl)cc1Cl,44413505.0,258.1,1.9,56.2,2.0,2.0,1.0,16.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=c1c(/C=N/c2ccc(Cl)cc2)coc2ccccc12,10613007.0,283.71,3.7,38.7,0.0,3.0,2.0,20.0
C=CCSC(=S)n1ccnc1C,76327951.0,198.3,2.5,75.2,0.0,3.0,3.0,12.0
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,638024.0,285.34,3.5,38.8,0.0,3.0,3.0,21.0
C[C@@H]1C[C@@H]2C=C[C@H](C)[C@H](/C=C/C=C/C(=O)O)[C@H]2[C@@](C)(O)C1,168285089.0,290.4,3.5,57.5,2.0,3.0,3.0,21.0
OB(O)c1cccc(Cn2cc(-c3ccsc3)nn2)c1,145961231.0,285.1,,99.4,2.0,5.0,4.0,20.0
CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN=C(N)N,44317527.0,290.32,-5.7,180.0,6.0,7.0,9.0,20.0
C[n+]1c2ccccc2c(NC2CC2)c2ccccc21.[Cl-],164628283.0,284.8,,15.9,1.0,2.0,2.0,20.0
Cc1ccc(-n2sc(Cl)cc2=O)cc1,11447462.0,225.7,2.8,45.6,0.0,2.0,1.0,14.0
O=C(NC1CC1)c1ccc(-c2ccc(O)c(O)c2)s1,25130839.0,275.32,2.7,97.8,3.0,4.0,3.0,19.0
C#CCC(NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F,49796177.0,298.22,,130.0,4.0,9.0,4.0,20.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
Cc1nnc2c(C#N)c(-c3ccc(F)cc3)[nH]c(=S)n12,73351045.0,285.3,2.1,95.9,1.0,5.0,1.0,20.0
O=C(/C=C/C[C@@H]1CC=CC(=O)O1)CCc1ccccc1,52948504.0,270.32,3.1,43.4,0.0,3.0,6.0,20.0
Cc1cc(C)c2c(/C=C/C=C/C(=O)O)c(CO)ccc2c1,168275898.0,282.3,3.6,57.5,2.0,3.0,4.0,21.0
NC(=O)c1cc2cc(C3CC3)c(C(F)(F)F)nc2nc1N,71458769.0,296.25,2.4,94.9,2.0,7.0,2.0,21.0
O=C(/C=C/c1ccccc1)c1cccs1,5702653.0,214.28,3.7,45.3,0.0,2.0,3.0,15.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
Cc1[nH]c2ccccc2c1C(=O)C(=O)Nc1ccccc1,2992733.0,278.3,3.2,62.0,2.0,2.0,3.0,21.0
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,5340.0,255.3,0.1,122.0,2.0,6.0,3.0,16.0
CCCCC/C=C/C=C/C=O,5283349.0,152.23,3.2,17.1,0.0,1.0,6.0,11.0
CCCCCCCCCN1CCCc2cc(O)ccc21,172467444.0,275.4,6.0,23.5,1.0,2.0,8.0,20.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3423265.0,288.38,,74.8,0.0,4.0,12.0,18.0
CN(CC(=O)O)NC(=O)C[C@H](N)CC1CC1N,44336104.0,244.29,-4.0,122.0,4.0,6.0,7.0,17.0
COc1ccc(C2C(C#N)=C(N)Oc3ccccc32)cc1,14168964.0,278.3,3.3,68.3,1.0,4.0,2.0,21.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CC(C)=CCc1c(O)cc(C)c(C(=O)O)c1O,129686584.0,236.26,3.6,77.8,3.0,4.0,3.0,17.0
CCC/C(C)=N/Nc1nc(-c2ccc(C)cc2)cs1,71741041.0,273.4,4.3,65.5,1.0,4.0,5.0,19.0
COc1ccc(/C=N/CCn2c([N+](=O)[O-])cnc2C)cc1,76326293.0,288.3,1.1,85.2,0.0,5.0,5.0,21.0
O=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccsc1,76316739.0,290.4,5.0,45.3,0.0,2.0,4.0,21.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
CCCCCCCCCCCCCCCC(=O)O,985.0,256.42,6.4,37.3,1.0,2.0,14.0,18.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
[C-]#[N+]c1ccc(NC(=O)c2cccnc2)cc1,172459569.0,223.23,1.6,46.4,1.0,3.0,2.0,17.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CC(C)CCOc1cc(C(N)=O)cc2ccccc12,137640662.0,257.33,3.7,52.3,1.0,2.0,5.0,19.0
C#Cc1cccc(NC(=O)[C@@H](N)C(C)C)c1,28207717.0,216.28,1.8,55.1,2.0,2.0,4.0,16.0
CC(=O)OCn1nnn(-c2ccccc2)c1=S,122187765.0,250.28,2.4,89.6,0.0,5.0,4.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CNC1=NC(=O)C(C(C)c2c[nH]c3c(F)cccc23)O1,168274597.0,275.28,2.3,66.5,2.0,4.0,2.0,20.0
C#CCOc1ccc(OCC=C)c(C(=O)NO)c1,90667583.0,247.25,1.4,67.8,2.0,4.0,6.0,18.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
COc1ccc2[nH]c(-c3ccccc3)nc2c1,745079.0,224.26,3.2,37.9,1.0,2.0,2.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
