molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL1088189,COc1cc2[nH]c3ccccc3c2cc1C=O,MIC,,,,CHEMBL2038579
CHEMBL4515171,CC1=CC(=O)[C@]2(O1)C(=O)N[C@@](O)(CC(C)C)[C@@H]2O,MIC,'>',128.0,ug.mL-1,CHEMBL4392360
CHEMBL2289499,CC1(C)C(=O)ON(Cc2ccccc2Cl)C1=O,MIC,'=',3100000.0,nM,CHEMBL5535926
CHEMBL1802222,NC(=S)N/N=C/c1cc2ccccc2nc1Cl,MIC,'=',256.0,ug.mL-1,CHEMBL1804973
CHEMBL497698,CC1=CC=C(C=O)C(C)(c2ccc(-c3ccccc3)cc2)C1,MIC,'>',100.0,ug.mL-1,CHEMBL999555
CHEMBL298647,O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,MIC,'=',16.0,ug.mL-1,CHEMBL857099
CHEMBL459815,CC(C)=CCC/C(C)=C/Cc1cc(O)ccc1O,MIC,'>',256.0,ug.mL-1,CHEMBL1015657
CHEMBL4450418,N#C[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],MIC,'>',16.0,ug.mL-1,CHEMBL5247783
CHEMBL2260465,O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O,MIC,'=',100.0,ug.mL-1,CHEMBL3056006
CHEMBL5189821,O=C(C[C@@H]1CCCCN1)Cn1cnc2nccnc2c1=O,MIC,'>',64.0,ug.mL-1,CHEMBL5153104
CHEMBL135799,OCCC[n+]1ccccc1,MIC,'>',2000.0,ug.mL-1,CHEMBL673729
CHEMBL5556949,Cc1cccc(NC(=O)c2nc3ccccc3n2C)c1C,MIC,'>',32.0,ug.mL-1,CHEMBL5503733
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.128,ug.mL-1,CHEMBL5047084
CHEMBL460033,CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1,MIC,'=',16.0,ug.mL-1,CHEMBL4677046
CHEMBL1926926,CCNc1nc(C)c(C(=O)/C=C/c2cccc(F)c2)s1,MIC,'=',6.89,10'-2 umol/ml,CHEMBL1929967
CHEMBL388179,O=c1ccn(C2CC2)c2cc(N3CCNCC3)c(F)cc12,MIC,'>',80.0,ug.mL-1,CHEMBL1838891
CHEMBL468246,C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CCC(=C)[C@@H]3[C@@H](O)[C@H]12,MIC,'=',50.0,ug.mL-1,CHEMBL983107
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1663989
CHEMBL118409,CCCCCCOC(=O)c1ccncc1,MIC,'=',50.0,ug.mL-1,CHEMBL3070934
CHEMBL2030364,N=C(N)c1cnc(OC2CCCC2)nc1N,MIC,'>',100000.0,nM,CHEMBL2034656
CHEMBL3393239,O=c1c2c(oc3ccc(F)cc13)-c1ccccc1OCCO2,MIC,'=',167.0,nM,CHEMBL3395345
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,,,,CHEMBL1247095
CHEMBL2334110,N=c1[nH]c2nn(-c3ccccc3)nc2c2ccccc12,MIC,'=',50.0,ug.mL-1,CHEMBL2344200
CHEMBL1999880,Cc1cc(=O)n2c3c(c4c(cc13)c(CO)cc(=O)n4C)OC2,MIC,'>',24.0,ug.mL-1,CHEMBL4417494
CHEMBL3357498,CC(C)=CCCC(C)CC1CC(=O)c2c(O)cccc2O1,MIC,'>',200.0,ug.mL-1,CHEMBL3386987
CHEMBL5176601,Nc1nc2c(Cn3ccnc3C(=O)O)cccc2s1,MIC,'=',0.5,ug.mL-1,CHEMBL5155371
CHEMBL3298263,CC(=O)C1=C[C@@]2(C)C(=CC1=O)[C@H](O)CC[C@@H]2C,MIC,'=',31.25,ug.mL-1,CHEMBL3299391
CHEMBL2035663,CCOC(=O)CC(=O)c1cnc(Cl)cn1,MIC,'=',6250.0,ug.mL-1,CHEMBL2039164
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1259455
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.12,ug.mL-1,CHEMBL1666863
CHEMBL1521734,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1,MIC,'=',125.0,ug.mL-1,CHEMBL2071795
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',4.0,ug.mL-1,CHEMBL1659069
CHEMBL4763070,COc1ccc(NC(=S)Nc2ccccc2Cl)cc1,MIC,'>',256.0,ug.mL-1,CHEMBL4682482
CHEMBL5398300,CC1=C[C@@H]2[C@@H](C(C)C)CC[C@@](C)(O)[C@@H]2CC1,MIC,'>',128.0,ug.mL-1,CHEMBL5359535
CHEMBL2236692,COc1ccc2nc3[nH]c(=O)[nH]c(=O)c3cc2c1,MIC,'=',7.8,ug.mL-1,CHEMBL3051031
CHEMBL4577157,CC(C)[C@@H]1O/C(=C/C(=O)Cc2ccccc2)NC1=O,MIC,'=',32.0,ug.mL-1,CHEMBL4402396
CHEMBL3822650,CNC1=CC(=O)C(C(C)(C)C)=CC1=O,MIC,'=',104000.0,nM,CHEMBL3824610
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],MIC,'<=',0.12,ug.mL-1,CHEMBL5247824
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',500.0,nM,CHEMBL5545487
CHEMBL1945694,Cc1cc2ncn(Cc3ccc(Cl)cc3)c2cc1C,MIC,'=',12.5,ug.mL-1,CHEMBL1947962
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1654656
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,,,,CHEMBL1674475
CHEMBL3247255,Cn1c(/C=C/C=[N+](/C)[O-])cnc1[N+](=O)[O-],MIC,'=',50.0,ug.mL-1,CHEMBL3258580
CHEMBL460033,CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1,MIC,'=',32.0,ug.mL-1,CHEMBL990262
CHEMBL207091,CCCCCCCCCCCCCC(=O)OCCC(C)C,MIC,'=',3019951.72,nM,CHEMBL866310
CHEMBL4078443,Cc1cccc2nc(N/N=C/c3cccs3)sc12,MIC,'=',35.0,ug.mL-1,CHEMBL4022403
CHEMBL107434,Oc1nc2nonc2nc1-c1cccc(Cl)c1,MIC,'>',128.0,ug.mL-1,CHEMBL673754
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL4187488
CHEMBL254613,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,MIC,'=',12.0,ug.mL-1,CHEMBL5247493
CHEMBL3086208,N#CCCCSC(=S)n1cnc2ccccc21,MIC,'>=',50.0,ug.mL-1,CHEMBL3089760
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL4187479
CHEMBL494109,Nc1nc(-c2ccc(O)c(O)c2)cs1,MIC,'=',39.0,ug.mL-1,CHEMBL989018
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL988214
CHEMBL149009,Oc1cc(F)ccc1Oc1ccccc1,MIC,'=',0.6,ug.mL-1,CHEMBL5231311
CHEMBL1240671,CSc1nc2sc3c(c2c(=S)[nH]1)CCCCC3,MIC,'=',128.0,ug.mL-1,CHEMBL1247395
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],MIC,'<=',0.12,ug.mL-1,CHEMBL5247918
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'<',0.12,ug.mL-1,CHEMBL1218197
CHEMBL335222,O=C(O)CC[n+]1ccccc1,MIC,'>',1000.0,ug.mL-1,CHEMBL673729
CHEMBL496256,CC(C)=CCCC1=CC=C(C=O)C(C)(c2ccc(C)o2)C1,MIC,'>',100.0,ug.mL-1,CHEMBL999555
CHEMBL3923746,CC1(C)NC(=S)N(c2ccc(Cl)cc2)N1,MIC,'>=',128.0,ug.mL-1,CHEMBL3870235
CHEMBL379412,N=C1CCNC(=O)N1c1ccc(Cl)cc1Cl,MIC,'=',25.0,ug.mL-1,CHEMBL862937
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.12,ug.mL-1,CHEMBL1282066
CHEMBL2260095,O=c1c(/C=N/c2ccc(Cl)cc2)coc2ccccc12,MIC,'=',400.0,ug.mL-1,CHEMBL3058393
CHEMBL3086202,C=CCSC(=S)n1ccnc1C,MIC,'>=',50.0,ug.mL-1,CHEMBL3089760
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,MIC,'=',300.0,ug.mL-1,CHEMBL3075852
CHEMBL5195512,C[C@@H]1C[C@@H]2C=C[C@H](C)[C@H](/C=C/C=C/C(=O)O)[C@H]2[C@@](C)(O)C1,MIC,'=',64.0,ug.mL-1,CHEMBL5124288
CHEMBL4126203,OB(O)c1cccc(Cn2cc(-c3ccsc3)nn2)c1,MIC,'<=',0.06,ug.mL-1,CHEMBL5117453
CHEMBL419476,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN=C(N)N,MIC,'>',256.0,ug.mL-1,CHEMBL682950
CHEMBL4877734,C[n+]1c2ccccc2c(NC2CC2)c2ccccc21.[Cl-],MIC,'>',64.0,ug.mL-1,CHEMBL4838237
CHEMBL568279,Cc1ccc(-n2sc(Cl)cc2=O)cc1,MIC,'=',5.0,ug.mL-1,CHEMBL1052821
CHEMBL444392,O=C(NC1CC1)c1ccc(-c2ccc(O)c(O)c2)s1,MIC,'=',78.0,ug.mL-1,CHEMBL989018
CHEMBL45655,C#CCC(NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F,MIC,'>',100.0,ug.mL-1,CHEMBL673755
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',3.0,ug.mL-1,CHEMBL1280570
CHEMBL2436664,Cc1nnc2c(C#N)c(-c3ccc(F)cc3)[nH]c(=S)n12,MIC,,,,CHEMBL2438151
CHEMBL1253688,O=C(/C=C/C[C@@H]1CC=CC(=O)O1)CCc1ccccc1,MIC,'=',50.0,ug.mL-1,CHEMBL1251161
CHEMBL5178509,Cc1cc(C)c2c(/C=C/C=C/C(=O)O)c(CO)ccc2c1,MIC,'>',64.0,ug.mL-1,CHEMBL5124288
CHEMBL2164863,NC(=O)c1cc2cc(C3CC3)c(C(F)(F)F)nc2nc1N,MIC,'=',2.0,ug.mL-1,CHEMBL2167579
CHEMBL285241,O=C(/C=C/c1ccccc1)c1cccs1,MIC,'=',10.0,ug.mL-1,CHEMBL3049081
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',4.0,ug.mL-1,CHEMBL1280224
CHEMBL567787,Cc1[nH]c2ccccc2c1C(=O)C(=O)Nc1ccccc1,MIC,'>',200.0,ug.mL-1,CHEMBL1292123
CHEMBL437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,MIC,'=',256.0,ug.mL-1,CHEMBL5326066
CHEMBL443949,CCCCC/C=C/C=C/C=O,MIC,'>',800.0,ug.mL-1,CHEMBL948664
CHEMBL5435554,CCCCCCCCCN1CCCc2cc(O)ccc21,MIC,'>',50.0,ug.mL-1,CHEMBL5353781
CHEMBL23393,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],MIC,'>',128.0,ug.mL-1,CHEMBL992264
CHEMBL108119,CN(CC(=O)O)NC(=O)C[C@H](N)CC1CC1N,MIC,'=',32.0,ug.mL-1,CHEMBL675415
CHEMBL1276537,COc1ccc(C2C(C#N)=C(N)Oc3ccccc32)cc1,MIC,'=',500.0,ug.mL-1,CHEMBL1286297
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.06,ug.mL-1,CHEMBL1266882
CHEMBL4575306,CC(C)=CCc1c(O)cc(C)c(C(=O)O)c1O,MIC,'>',225000.0,nM,CHEMBL4481586
CHEMBL2402834,CCC/C(C)=N/Nc1nc(-c2ccc(C)cc2)cs1,MIC,'>',256.0,ug.mL-1,CHEMBL2405758
CHEMBL2238081,COc1ccc(/C=N/CCn2c([N+](=O)[O-])cnc2C)cc1,MIC,'=',4340000.0,nM,CHEMBL3048989
CHEMBL2297195,O=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccsc1,MIC,'=',30.0,ug.mL-1,CHEMBL3074721
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'=',1.0,ug.mL-1,CHEMBL1821389
CHEMBL82293,CCCCCCCCCCCCCCCC(=O)O,MIC,'>',20.0,ug,CHEMBL1019081
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'<=',0.125,ug.mL-1,CHEMBL935006
CHEMBL5418772,[C-]#[N+]c1ccc(NC(=O)c2cccnc2)cc1,MIC,'>=',64000.0,nM,CHEMBL5355195
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',2.0,ug.mL-1,CHEMBL960519
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1217823
CHEMBL4073412,CC(C)CCOc1cc(C(N)=O)cc2ccccc12,MIC,'=',16.0,ug.mL-1,CHEMBL3999152
CHEMBL5094802,C#Cc1cccc(NC(=O)[C@@H](N)C(C)C)c1,MIC,'=',10.0,ug.mL-1,CHEMBL5040846
CHEMBL3609692,CC(=O)OCn1nnn(-c2ccccc2)c1=S,MIC,'=',13.88,ug.mL-1,CHEMBL3610846
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.125,ug.mL-1,CHEMBL1666096
CHEMBL5177243,CNC1=NC(=O)C(C(C)c2c[nH]c3c(F)cccc23)O1,MIC,'=',16.0,ug.mL-1,CHEMBL5106479
CHEMBL3221106,C#CCOc1ccc(OCC=C)c(C(=O)NO)c1,MIC,'=',400.0,ug.mL-1,CHEMBL3224627
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'=',1.0,,CHEMBL674872
CHEMBL1455814,COc1ccc2[nH]c(-c3ccccc3)nc2c1,MIC,'=',25000.0,nM,CHEMBL2399645
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1639886
